ordernumber;name;tax;price_EK;active;shippingtime;shippingfree;topseller;keywords;categories
85749;1945. Zwischen Krieg und Frieden, Zweiter Teil: Erinnerungen aus Mecklenburg-Vorpommern und der Uckermark;7;12,9;1;2-3;0;0;1945, Mecklenburg-Vorpommern, Zeitzeugenberichte, Flucht, Vertreibung, Krieg;26
85740;Klaufix, Kirche, Konsumbrot;7;9,9;1;2-3;0;0;Christrotkreuzpionier, Klaufix, Kirche, Konsumbrot, DDR, Ostalgie, DDR-Alltag, Leben in der DDR;16
85734;Moppel-Has' und Mümmel-Jette;7;9,9;1;2-3;0;0;Jahreszeiten, Hasen, Plattdeutsch, Tierbuch;22
85733;Witwer Luwi und die Frauen;7;9,9;1;2-3;0;0;Rentner-Ludwig-Geschichten, Witwer Ludwig, Siegfried Noack, Rentner, Seniorensport, Seniorenreisen, Siegfried Noack Neubrandenburg;43
85731;Redensarten von A bis Z;7;9,9;0;2-3;0;0;Redensarten, Sprichwörter, deutsche Sprache;43
85730;1945. Zwischen Krieg und Frieden: Erinnerungen aus Mecklenburg-Vorpommern und der Uckermark;7;12,9;1;2-3;0;0;Zeitgeschehen, 1945, Zeitzeugenberichte, Krieg, Vertreibung, Flucht;26
85729;Bin im Garten: Geheime Tipps und Kniffe vom Nachbarn;7;14,9;1;2-3;0;1;Gartentipps, Gartenratgeber, Hobbygärtner, Gartenarbeit, Tipps für Hobbygärtner, Gartenarbeit als Hobby;43
85737;Kriminalakte Vorpommern: Dem Verbrechen auf der Spur;7;12,9;1;2-3;0;0;;44
85726;Kriminalakte Neubrandenburg;7;12,9;1;2-3;0;0;;44
85723;25 Jahre Mauerfall – Die unglaublichsten Geschichten aus dem Osten;7;5;1;2-3;0;0;Mauerfall, Wende, 1989, DDR;16
85742;Eine runde Sache: 50 Jahre Fußball Knabenturnier;7;9,9;1;2-3;0;0;Fußball, Knabenturnier , Neubrandenburg, Fußball-Knabenturnier, Toni Kroos, Michael Ballack, Manuel Neuer;44
85739;Vom roten Osten in den Wilden Westen;7;5;1;2-3;0;1;Woroschilowlager, Pionierferienlager, Röddelinsee, Templin, ältestes Pionierlager Deutschlands, Templiner Pionierferienlager;16
85738;Aus der Vogelperspektive: So haben Sie die Uckermark noch nie gesehen;7;5;1;2-3;0;0;Uckermark, Drohne, Vogelperspektive;44
85728;Torpediert: Neubrandenburger Spitzfindigkeiten;7;3;1;2-3;0;0;Neubrandenburg, torpediert;44
85798;Unterrichtsmaterial Leb wohl Alishi;19;29,95;1;2-3;0;0;Flucht, Flüchtingskinder, Flüchtlinge, Vertreibung, Krieg;43
85835;"Buchset ""1945"": Alle 5 Bände zum Vorteilspreis!*";7;60;0;2-3;0;0;1945, Krieg, Frieden, Besatzung, Erinnerungen, Mecklenburg-Vorpommern, Uckermark. Prenzlau, Erlebnisberichte, Zeitzeugenberichte;43
85652;Nordkurier Spezial: Katastrophen-Winter 78/79;7;2,95;1;2-3;0;0;Winter 78/79, Schneemassen, Nordkurier, Spezial, Eis, Kälte;44
85656;Nordkurier Spezial - Die Helden von Lübtheen;7;3,95;1;2-3;0;0;;53
1;Mürli-Premium-Kräuterlikör im Geschenkkarton 35% vol;19;23;1;;0;0;;52
2;Mürli-Premium-Eierlikör 200 ml Flasche 17% vol;19;9,5;1;;0;0;;52
